Word,Phonetic,Meanings,Examples

abandoned,əˈband(ə)nd,"adjective - having been deserted or left. unrestrained; uninhibited. ","an abandoned car;a wild, abandoned dance;"
abandon,əˈband(ə)n,"verb - cease to support or look after (someone); desert. give up completely (a practice or a course of action). allow oneself to indulge in (a desire or impulse). ","her natural mother had abandoned her at an early age;he had clearly abandoned all pretence of trying to succeed;they abandoned themselves to despair;"

abandon,əˈband(ə)n,"verb - cease to support or look after (someone); desert. give up completely (a practice or a course of action). allow oneself to indulge in (a desire or impulse). ","her natural mother had abandoned her at an early age;he had clearly abandoned all pretence of trying to succeed;they abandoned themselves to despair;"

abbot,ˈabət,"noun - a man who is the head of an abbey of monks. ","null;"

abhorrent,əbˈhɒr(ə)nt,"adjective - inspiring disgust and loathing; repugnant. ","racism was abhorrent to us all;"

abjure,əbˈdʒʊə,"verb - solemnly renounce (a belief, cause, or claim). ","MPs were urged to abjure their Jacobite allegiance;"

able,ˈeɪb(ə)l,"adjective - having the power, skill, means, or opportunity to do something. having considerable skill, proficiency, or intelligence. ","he was able to read Greek at the age of eight;the dancers were technically very able;"
-able,əb(ə)l,"suffix - (forming adjectives) able to be. (forming adjectives) to be. (forming adjectives) subject to. (forming adjectives) relevant to or in accordance with. (forming adjectives) having the quality to. ","calculable;payable;taxable;fashionable;suitable;"

abnormally,abˈnɔːməli,"adverb - in a manner that deviates from what is normal or usual; irregularly or extraordinarily. ","her heart started beating abnormally;"

abode,əˈbəʊd,"noun - a place of residence; a house or home. ","my humble abode;"
abode,əˈbəʊd,"verb - archaic past of abide. ","null;"

abominable,əˈbɒm(ə)nəb(ə)l,"adjective - causing moral revulsion. ","the uprising was suppressed with abominable cruelty;"

abound,əˈbaʊnd,"verb - exist in large numbers or amounts. ","rumours of a further scandal abound;"

about,əˈbaʊt,"preposition - on the subject of; concerning. used to indicate movement within a particular area. used to express location in a particular place. adverb - used to indicate movement within an area. used to express location in a particular place. (used with a number or quantity) approximately. ","I was thinking about you;she looked about the room;rugs were strewn about the hall;men were floundering about;there was a lot of flu about;reduced by about 5 per cent;"

above,əˈbʌv,"preposition - in extended space over and not touching. at a higher level or layer than. higher than (a specified amount, rate, or norm). adverb - at a higher level or layer. ","a display of fireworks above the town;from his flat above the corner shop;the food was well above average;place a quantity of mud in a jar with water above;"

abrupt,əˈbrʌpt,"adjective - sudden and unexpected. brief to the point of rudeness; curt. steep; precipitous. ","I was surprised by the abrupt change of subject;you were rather abrupt with that young man;the abrupt double peak;"

abruptly,əˈbrʌptli,"adverb - suddenly and unexpectedly. in a rude or curt manner. steeply; precipitously. ","the film ends rather abruptly;she barely conceals her irritation and speaks briefly and abruptly to the woman;the forested terrain ascends abruptly;"

